Input function with masked if condition,Prediction correct (true/false),Expected if condition,Predicted if condition,CodeBLEU prediction score (0-100),BLEU-4 prediction score (0-100)
"def get_config(): """"""Get INI parser with version.ini data."""""" # TODO(hanuszczak): See comment in `setup.py` for `grr-response-proto`. ini_path = os.path.join(THIS_DIRECTORY, ""version.ini"") if not os.path.exists(ini_path): ini_path = os.path.join(THIS_DIRECTORY, ""../../version.ini"") if not os.path.exists(ini_path): raise RuntimeError(""Couldn't find version.ini"") config = configparser.ConfigParser() config.read(ini_path) return config",false,if not os . path . exists ( ini_path ) :,configparser.ConfigParser()configparser.ConfigParser()configparser.ConfigParser()configparser.ConfigParser()config,36.36,2.57
"def init_weights(self, pretrained=None): if isinstance(pretrained, str): logger = logging.getLogger() load_checkpoint(self, pretrained, strict=False, logger=logger) elif pretrained is None: for m in self.modules(): if isinstance(m, nn.Conv2d): kaiming_init(m) elif isinstance(m, (_BatchNorm, nn.GroupNorm)): constant_init(m, 1) else: raise TypeError(""pretrained must be a str or None"")",false,"if isinstance ( m , nn . Conv2d ) :",:::::::::::::::,10.0,2.63
"def isValidDateString(config_param_name, value, valid_value): try: if value == ""DD-MM-YYYY"": return value day, month, year = value.split(""-"") if int(day) < 1 or int(day) > 31: raise DateStringValueError(config_param_name, value) if int(month) < 1 or int(month) > 12: raise DateStringValueError(config_param_name, value) if int(year) < 1900 or int(year) > 2013: raise DateStringValueError(config_param_name, value) return value except Exception: raise DateStringValueError(config_param_name, value)",false,"if value == ""DD-MM-YYYY"" :",if< 1 or int(month) >1 or int(month) >12: raise DateStringValueError(config_param,16.67,1.87
"def from_obj(cls, py_obj): if not isinstance(py_obj, Image): raise TypeError(""py_obj must be a wandb.Image"") else: if hasattr(py_obj, ""_boxes"") and py_obj._boxes: box_keys = list(py_obj._boxes.keys()) else: box_keys = [] if hasattr(py_obj, ""masks"") and py_obj.masks: mask_keys = list(py_obj.masks.keys()) else: mask_keys = [] return cls(box_keys, mask_keys)",false,"if hasattr ( py_obj , ""_boxes"" ) and py_obj . _boxes :",py_objpy_obj.image)py_obj.image),21.43,16.12
"def _path_type(st, lst): parts = [] if st: if stat.S_ISREG(st.st_mode): parts.append(""file"") elif stat.S_ISDIR(st.st_mode): parts.append(""dir"") else: parts.append(""other"") if lst: if stat.S_ISLNK(lst.st_mode): parts.append(""link"") return "" "".join(parts)",false,elif stat . S_ISDIR ( st . st_mode ) :,lst:,10.0,0.0
"def is_destructive(queries): """"""Returns if any of the queries in *queries* is destructive."""""" keywords = (""drop"", ""shutdown"", ""delete"", ""truncate"", ""alter"") for query in sqlparse.split(queries): if query: if query_starts_with(query, keywords) is True: return True elif query_starts_with( query, [""update""] ) is True and not query_has_where_clause(query): return True return False",false,"if query_starts_with ( query , keywords ) is True :",TrueTrue,0.0,0.0
"def _store_gsuite_membership_post(self): """"""Flush storing gsuite memberships."""""" if not self.member_cache: return self.session.flush() # session.execute automatically flushes if self.membership_items: if get_sql_dialect(self.session) == ""sqlite"": # SQLite doesn't support bulk insert for item in self.membership_items: stmt = self.dao.TBL_MEMBERSHIP.insert(item) self.session.execute(stmt) else: stmt = self.dao.TBL_MEMBERSHIP.insert(self.membership_items) self.session.execute(stmt)",false,"if get_sql_dialect ( self . session ) == ""sqlite"" :",self.dao.TBL_MEMBERSHIP.insert(self.membership_items) self.session.execute(stmt)self,38.46,9.12
"def forward(self, inputs: paddle.Tensor): outputs = [] blocks = self.block(inputs) route = None for i, block in enumerate(blocks): if i > 0: block = paddle.concat([route, block], axis=1) route, tip = self.yolo_blocks[i](block) block_out = self.block_outputs[i](tip) outputs.append(block_out) if i < 2: route = self.route_blocks_2[i](route) route = self.upsample(route) return outputs",false,if i > 0 :,outputs====,0.0,0.0
"def deep_dict(self, root=None): if root is None: root = self result = {} for key, value in root.items(): if isinstance(value, dict): result[key] = self.deep_dict(root=self.__class__._get_next(key, root)) else: result[key] = value return result",false,"if isinstance ( value , dict ) :",self,0.0,0.0
"def _parse_param_list(self, content): r = Reader(content) params = [] while not r.eof(): header = r.read().strip() if "" : "" in header: arg_name, arg_type = header.split("" : "")[:2] else: arg_name, arg_type = header, """" desc = r.read_to_next_unindented_line() desc = dedent_lines(desc) params.append((arg_name, arg_type, desc)) return params",false,"if "" : "" in header :",=r.read()))),0.0,0.0
"def _ungroup(sequence, groups=None): for v in sequence: if isinstance(v, (list, tuple)): if groups is not None: groups.append(list(_ungroup(v, groups=None))) for v in _ungroup(v, groups): yield v else: yield v",false,"if isinstance ( v , ( list , tuple ) ) :",=,0.0,0.0
"def _add_resource_group(obj): if isinstance(obj, list): for array_item in obj: _add_resource_group(array_item) elif isinstance(obj, dict): try: if ""resourcegroup"" not in [x.lower() for x in obj.keys()]: if obj[""id""]: obj[""resourceGroup""] = _parse_id(obj[""id""])[""resource-group""] except (KeyError, IndexError, TypeError): pass for item_key in obj: if item_key != ""sourceVault"": _add_resource_group(obj[item_key])",false,"if item_key != ""sourceVault"" :","item_key= _parse_id(obj[item_key][""resource-group""]):if isinstance(obj,",75.0,6.6
"def haslayer(self, cls): """"""true if self has a layer that is an instance of cls. Superseded by ""cls in self"" syntax."""""" if self.__class__ == cls or self.__class__.__name__ == cls: return 1 for f in self.packetfields: fvalue_gen = self.getfieldval(f.name) if fvalue_gen is None: continue if not f.islist: fvalue_gen = SetGen(fvalue_gen, _iterpacket=0) for fvalue in fvalue_gen: if isinstance(fvalue, Packet): ret = fvalue.haslayer(cls) if ret: return ret return self.payload.haslayer(cls)",false,"if isinstance ( fvalue , Packet ) :","isinstance(fvalue, SetGen):fvalue_gen.islist: fvalue_gen =fvalue_gen.",75.0,13.52
"def _post_attachment(self, message, channel, color, sub_fields=None): if channel is None: message_channels = self.channels else: message_channels = [channel] for message_channel in message_channels: attachment = { ""fallback"": message, ""text"": message, ""color"": color, } if sub_fields is not None: attachment[""fields""] = sub_fields self.slack_client.api_call( ""chat.postMessage"", channel=message_channel, attachments=[attachment], as_user=True, )",false,if sub_fields is not None :,"=self.slack_client.api_call(""chat.postMessage"", channel=message_channel, attachments=[attachment], as",0.0,1.24
"def create(cls, repository, args): key = cls() passphrase = os.environ.get(""ATTIC_PASSPHRASE"") if passphrase is not None: passphrase2 = passphrase else: passphrase, passphrase2 = 1, 2 while passphrase != passphrase2: passphrase = getpass(""Enter passphrase: "") if not passphrase: print(""Passphrase must not be blank"") continue passphrase2 = getpass(""Enter same passphrase again: "") if passphrase != passphrase2: print(""Passphrases do not match"") key.init(repository, passphrase) if passphrase: print(""Remember your passphrase. Your data will be inaccessible without it."") return key",false,if not passphrase :,"passphrase2 =passphrase2: print(""Passphrasespassphrase2:passphrase2:passphrase2:",25.0,3.09
"def _generate_create_date(self): if self.timezone is not None: # First, assume correct capitalization tzinfo = tz.gettz(self.timezone) if tzinfo is None: # Fall back to uppercase tzinfo = tz.gettz(self.timezone.upper()) if tzinfo is None: raise util.CommandError(""Can't locate timezone: %s"" % self.timezone) create_date = ( datetime.datetime.utcnow().replace(tzinfo=tz.tzutc()).astimezone(tzinfo) ) else: create_date = datetime.datetime.now() return create_date",false,if tzinfo is None :,timezonetimezonetimezonetimezonetimezonetimezone.lower()) create_date =timezone.lower() create_datetimezone.,0.0,0.0
"def _read_header_lines(fp): """"""Read lines with headers until the start of body"""""" lines = deque() for line in fp: if is_empty(line): break # tricky case if it's not a header and not an empty line # usually means that user forgot to separate the body and newlines # so ""unread"" this line here, what means to treat it like a body if not _RE_HEADER.match(line): fp.seek(fp.tell() - len(line)) break lines.append(line) return lines",false,if not _RE_HEADER . match ( line ) :,lineslines=== fp.tell()= fp.tell()====,33.33,2.66
"def _media_files_drag_received(widget, context, x, y, data, info, timestamp): uris = data.get_uris() files = [] for uri in uris: try: uri_tuple = GLib.filename_from_uri(uri) except: continue uri, unused = uri_tuple if os.path.exists(uri) == True: if utils.is_media_file(uri) == True: files.append(uri) if len(files) == 0: return open_dropped_files(files)",false,if os . path . exists ( uri ) == True :,===============,15.38,5.26
"def remove_importlib(frame, options): if frame is None: return None for child in frame.children: remove_importlib(child, options=options) if ""<frozen importlib._bootstrap"" in child.file_path: # remove this node, moving the self_time and children up to the parent frame.self_time += child.self_time frame.add_children(child.children, after=child) child.remove_from_parent() return frame",false,"if ""<frozen importlib._bootstrap"" in child . file_path :",child,7.69,0.0
"def __call__(self, graph): for layer_name, data in self.params: if layer_name in graph: node = graph.get_node(layer_name) node.data = self.adjust_parameters(node, data) else: print_stderr(""Ignoring parameters for non-existent layer: %s"" % layer_name) return graph",false,if layer_name in graph :,graph:,40.0,0.0
"def test_with_three_points(self): cba = ia.Polygon([(1, 2), (3, 4), (5, 5)]) for i, xy in enumerate(cba): assert i in [0, 1, 2] if i == 0: assert np.allclose(xy, (1, 2)) elif i == 1: assert np.allclose(xy, (3, 4)) elif i == 2: assert np.allclose(xy, (5, 5)) assert i == 2",false,elif i == 1 :,"assert np.allclose(xy, (3,2) elif== 3: assert np.allclose(xy,(",66.67,3.92
"def _serve(self): self._conn = self.manager.request(REQUEST_DNS_LISTENER, self.domain) conn = MsgPackMessages(self._conn) while self.active: request = conn.recv() if not request: logger.warning(""DNS: Recieved empty request. Shutdown"") self.stop() break now = time.time() response = self.handler.process(request) if not response: response = [] used = time.time() - now if used > 1: logger.warning(""DNS: Slow processing speed (%s)s"", used) conn.send(response)",false,if used > 1 :,"self.manager.request(REQUEST_DNS_LISTENER, self.domain)self.handler.process(response)self.manager",0.0,0.0
"def read(cls, fp, **kwargs): major_version, minor_version, count = read_fmt(""2HI"", fp) items = [] for _ in range(count): length = read_fmt(""I"", fp)[0] - 4 if length > 0: with io.BytesIO(fp.read(length)) as f: items.append(Annotation.read(f)) return cls(major_version=major_version, minor_version=minor_version, items=items)",false,if length > 0 :,**kwargs):,20.0,10.68
"def save_uploaded_files(): files = [] unzip = bool(request.form.get(""unzip"") in [""true"", ""on""]) for uploaded_file in request.files.getlist(""files""): if unzip and zipfile.is_zipfile(uploaded_file): with zipfile.ZipFile(uploaded_file, ""r"") as zf: for info in zf.infolist(): name = info.filename size = info.file_size data = zf.read(name) if size > 0: files.append(save_file(data, filename=name.split(""/"")[-1])) else: files.append(save_file(uploaded_file)) return files",false,if unzip and zipfile . is_zipfile ( uploaded_file ) :,===============,0.0,0.0
"def analyze_string_content(self, string, line_num, filename): output = {} if self.keyword_exclude and self.keyword_exclude.search(string): return output for identifier in self.secret_generator( string, filetype=determine_file_type(filename), ): if self.is_secret_false_positive(identifier): continue secret = PotentialSecret( self.secret_type, filename, identifier, line_num, ) output[secret] = secret return output",false,if self . is_secret_false_positive ( identifier ) :,=filename,0.0,0.0
"def _validate_and_set_default_hyperparameters(self): """"""Placeholder docstring"""""" # Check if all the required hyperparameters are set. If there is a default value # for one, set it. for name, definition in self.hyperparameter_definitions.items(): if name not in self.hyperparam_dict: spec = definition[""spec""] if ""DefaultValue"" in spec: self.hyperparam_dict[name] = spec[""DefaultValue""] elif ""IsRequired"" in spec and spec[""IsRequired""]: raise ValueError(""Required hyperparameter: %s is not set"" % name)",false,"elif ""IsRequired"" in spec and spec [ ""IsRequired"" ] :",ifis set.None:None:None:None:None:None:None: self.hyper,7.14,1.91
"def get_code(self, fullname=None): fullname = self._fix_name(fullname) if self.code is None: mod_type = self.etc[2] if mod_type == imp.PY_SOURCE: source = self.get_source(fullname) self.code = compile(source, self.filename, ""exec"") elif mod_type == imp.PY_COMPILED: self._reopen() try: self.code = read_code(self.file) finally: self.file.close() elif mod_type == imp.PKG_DIRECTORY: self.code = self._get_delegate().get_code() return self.code",false,elif mod_type == imp . PKG_DIRECTORY :,self.file.open()self.file.close()self.file.close()self.file.close()self,12.5,1.29
"def eigh_abstract_eval(operand, lower): if isinstance(operand, ShapedArray): if operand.ndim < 2 or operand.shape[-2] != operand.shape[-1]: raise ValueError( ""Argument to symmetric eigendecomposition must have shape [..., n, n],"" ""got shape {}"".format(operand.shape) ) batch_dims = operand.shape[:-2] n = operand.shape[-1] v = ShapedArray(batch_dims + (n, n), operand.dtype) w = ShapedArray(batch_dims + (n,), lax.lax._complex_basetype(operand.dtype)) else: v, w = operand, operand return v, w",false,if operand . ndim < 2 or operand . shape [ - 2 ] != operand . shape [ - 1 ] :,===============,4.17,1.44
"def conninfo_parse(dsn): ret = {} length = len(dsn) i = 0 while i < length: if dsn[i].isspace(): i += 1 continue param_match = PARAMETER_RE.match(dsn[i:]) if not param_match: return param = param_match.group(1) i += param_match.end() if i >= length: return value, end = read_param_value(dsn[i:]) if value is None: return i += end ret[param] = value return ret",false,if not param_match :,dsn==============,0.0,0.0
"def load_weights_from_unsupervised(self, unsupervised_model): update_state_dict = copy.deepcopy(self.network.state_dict()) for param, weights in unsupervised_model.network.state_dict().items(): if param.startswith(""encoder""): # Convert encoder's layers name to match new_param = ""tabnet."" + param else: new_param = param if self.network.state_dict().get(new_param) is not None: # update only common layers update_state_dict[new_param] = weights self.network.load_state_dict(update_state_dict)",false,if self . network . state_dict ( ) . get ( new_param ) is not None :,weights= weightsupdate_state_dict[param] = weights ifis not None:update_state_dict[new,17.65,11.41
"def viewer_setup(self): for key, value in DEFAULT_CAMERA_CONFIG.items(): if isinstance(value, np.ndarray): getattr(self.viewer.cam, key)[:] = value else: setattr(self.viewer.cam, key, value)",false,"if isinstance ( value , np . ndarray ) :",self.viewer.cam,10.0,3.93
"def colormap_changed(change): if change[""new""]: cmap_colors = [ color[1:] for color in cmap.step.__dict__[""_schemes""][colormap.value] ] palette.value = "", "".join(cmap_colors) colorbar = getattr(cmap.step, colormap.value) colorbar_output = self.colorbar_widget with colorbar_output: colorbar_output.clear_output() display(colorbar) if len(palette.value) > 0 and "","" in palette.value: labels = [f""Class {i+1}"" for i in range(len(palette.value.split("","")))] legend_labels.value = "", "".join(labels)",false,"if len ( palette . value ) > 0 and "","" in palette . value :",[] labels =labels[ i + 1] labels[ i + 1] labels[ i + 1,0.0,0.0
"def invalidate(self, layers=None): if layers is None: layers = Layer.AllLayers if layers: layers = set(layers) self.invalidLayers.update(layers) blockRenderers = [ br for br in self.blockRenderers if br.layer is Layer.Blocks or br.layer not in layers ] if len(blockRenderers) < len(self.blockRenderers): self.forgetDisplayLists() self.blockRenderers = blockRenderers if self.renderer.showRedraw and Layer.Blocks in layers: self.needsRedisplay = True",false,if len ( blockRenderers ) < len ( self . blockRenderers ) :,self.renderer.showRedraw and Layer.Blocks inlayers: self.needsRedisplay =self.renderer.showRedraw,23.08,4.24
"def fromstring(cls, input): productions = [] for linenum, line in enumerate(input.split(""\n"")): line = line.strip() if line.startswith(""#"") or line == """": continue try: productions += _read_dependency_production(line) except ValueError: raise ValueError(""Unable to parse line %s: %s"" % (linenum, line)) if len(productions) == 0: raise ValueError(""No productions found!"") return DependencyGrammar(productions)",false,"if line . startswith ( ""#"" ) or line == """" :",class:))))))))))))),12.5,2.92
"def repl(m, base_path, rel_path=None): if m.group(""comments""): tag = m.group(""comments"") else: tag = m.group(""open"") if rel_path is None: tag += RE_TAG_LINK_ATTR.sub( lambda m2: repl_absolute(m2, base_path), m.group(""attr"") ) else: tag += RE_TAG_LINK_ATTR.sub( lambda m2: repl_relative(m2, base_path, rel_path), m.group(""attr"") ) tag += m.group(""close"") return tag",false,if rel_path is None :,"re_tag_link_attr.sub( lambda m2: repl_absolute(m2,re_tag_link_attr",20.0,1.72
"def encode(path): if isinstance(path, str_cls): try: path = path.encode(fs_encoding, ""strict"") except UnicodeEncodeError: if not platform.is_linux(): raise path = path.encode(fs_fallback_encoding, ""strict"") return path",false,if not platform . is_linux ( ) :,path,0.0,0.0
"def __iter__(self): base_iterator = super(ProcessIterable, self).__iter__() if getattr(self.queryset, ""_coerced"", False): for process in base_iterator: if isinstance(process, self.queryset.model): process = coerce_to_related_instance( process, process.flow_class.process_class ) yield process else: for process in base_iterator: yield process",false,"if isinstance ( process , self . queryset . model ) :",self.queryset.model):,58.33,48.95
"def footnotes_under(n: Element) -> Iterator[nodes.footnote]: if isinstance(n, nodes.footnote): yield n else: for c in n.children: if isinstance(c, addnodes.start_of_file): continue elif isinstance(c, nodes.Element): yield from footnotes_under(c)",false,"if isinstance ( c , addnodes . start_of_file ) :",n:,10.0,0.0
"def _process_submissions(self) -> None: """"""Process all submissions which have not been processed yet."""""" while self._to_be_processed: job = self._to_be_processed[0] job.process() # trigger computation if not self.batch_mode: heapq.heappush( self._steady_priority_queue, OrderedJobs(job.release_time, self._order, job), ) self._to_be_processed.popleft() # remove right after it is added to the heap queue self._order += 1",false,if not self . batch_mode :,self._to_be_processed.popleft()self._orderself._orderself._orderself._orderself,33.33,3.33
"def valid_localparts(strip_delimiters=False): for line in ABRIDGED_LOCALPART_VALID_TESTS.split(""\n""): # strip line, skip over empty lines line = line.strip() if line == """": continue # skip over comments or empty lines match = COMMENT.match(line) if match: continue # skip over localparts with delimiters if strip_delimiters: if "","" in line or "";"" in line: continue yield line",false,if match :,line:line:line:line:line:line:line:line:line:,33.33,2.15
"def _get_payload_hash(self, method, data=None): if method in (""POST"", ""PUT""): if data: if hasattr(data, ""next"") or hasattr(data, ""__next__""): # File upload; don't try to read the entire payload return UNSIGNED_PAYLOAD return _hash(data) else: return UNSIGNED_PAYLOAD else: return _hash("""")",false,"if hasattr ( data , ""next"" ) or hasattr ( data , ""__next__"" ) :",_get_payload_hash(data),15.79,2.65
"def get_download_info(self): try: download_info = self.api.get_download_info(self.game) result = True except NoDownloadLinkFound as e: print(e) if Config.get(""current_download"") == self.game.id: Config.unset(""current_download"") GLib.idle_add( self.parent.parent.show_error, _(""Download error""), _( ""There was an error when trying to fetch the download link!\n{}"".format( e ) ), ) download_info = False result = False return result, download_info",false,"if Config . get ( ""current_download"" ) == self . game . id :",())(),11.76,0.77
"def find_id(self, doc_id): self._lock.acquire() try: doc = self._docs.get(doc_id) if doc: doc = copy.deepcopy(doc) doc[""id""] = doc_id return doc finally: self._lock.release()",false,if doc :,=,0.0,0.0
"def assign_art(self, session, task): """"""Place the discovered art in the filesystem."""""" if task in self.art_candidates: candidate = self.art_candidates.pop(task) self._set_art(task.album, candidate, not self.src_removed) if self.src_removed: task.prune(candidate.path)",false,if self . src_removed :,candidate.path),20.0,7.55
"def _replace_named(self, named, replace_scalar): for item in named: for name, value in self._get_replaced_named(item, replace_scalar): if not is_string(name): raise DataError(""Argument names must be strings."") yield name, value",false,if not is_string ( name ) :,:,14.29,0.0
"def qtTypeIdent(conn, *args): # We're not using the conn object at the moment, but - we will # modify the # logic to use the server version specific keywords later. res = None value = None for val in args: # DataType doesn't have len function then convert it to string if not hasattr(val, ""__len__""): val = str(val) if len(val) == 0: continue value = val if Driver.needsQuoting(val, True): value = value.replace('""', '""""') value = '""' + value + '""' res = ((res and res + ""."") or """") + value return res",false,"if Driver . needsQuoting ( val , True ) :",===============,0.0,0.0
"def _update_tileable_and_chunk_shape(self, tileable_graph, chunk_result, failed_ops): for n in tileable_graph: if n.op in failed_ops: continue tiled_n = get_tiled(n) if has_unknown_shape(tiled_n): if any(c.key not in chunk_result for c in tiled_n.chunks): # some of the chunks has been fused continue new_nsplits = self.get_tileable_nsplits(n, chunk_result=chunk_result) for node in (n, tiled_n): node._update_shape(tuple(sum(nsplit) for nsplit in new_nsplits)) tiled_n._nsplits = new_nsplits",false,if n . op in failed_ops :,"n.key, chunk_result=chunk_result)n.chunks):n.chunks):n.chunks):n",42.86,3.18
"def _read_filter(self, data): if data: if self.expected_inner_sha256: self.inner_sha.update(data) if self.expected_inner_md5sum: self.inner_md5.update(data) return data",false,if self . expected_inner_sha256 :,if,20.0,0.0
"def find_previous_editable(self, *args): if self.editw == 0: if self._active_page > 0: self.switch_page(self._active_page - 1) if not self.editw == 0: # remember that xrange does not return the 'last' value, # so go to -1, not 0! (fence post error in reverse) for n in range(self.editw - 1, -1, -1): if self._widgets__[n].editable and not self._widgets__[n].hidden: self.editw = n break",false,if self . _widgets__ [ n ] . editable and not self . _widgets__ [ n ] . hidden :,"self.editw- 1,- 1,- 1,- 1,- 1, -1,-",10.0,2.84
"def _get_event_for_message(self, message_id): with self.event_lock: if message_id not in self._events: raise RuntimeError( ""Event for message[{}] should have been created before accessing"".format( message_id ) ) return self._events[message_id]",false,if message_id not in self . _events :,message_id,12.5,0.0
"def _get_deepest(self, t): if isinstance(t, list): if len(t) == 1: return t[0] else: for part in t: res = self._get_deepest(part) if res: return res return None return None",false,if res :,t,0.0,0.0
"def _get_notify(self, action_node): if action_node.name not in self._skip_notify_tasks: if action_node.notify: task_notify = NotificationsHelper.to_model(action_node.notify) return task_notify elif self._chain_notify: return self._chain_notify return None",false,if action_node . notify :,action_node,20.0,0.0
"def __init__(self, centered=None, shape_params=()): assert centered is None or isinstance(centered, (float, torch.Tensor)) assert isinstance(shape_params, (tuple, list)) assert all(isinstance(name, str) for name in shape_params) if is_validation_enabled(): if isinstance(centered, float): assert 0 <= centered and centered <= 1 elif isinstance(centered, torch.Tensor): assert (0 <= centered).all() assert (centered <= 1).all() else: assert centered is None self.centered = centered self.shape_params = shape_params",false,"elif isinstance ( centered , torch . Tensor ) :",shape_params= shape_params= shape_params self .= shape_params self .= shape_params self .,10.0,1.51
"def collect(self): for nickname in self.squid_hosts.keys(): squid_host = self.squid_hosts[nickname] fulldata = self._getData(squid_host[""host""], squid_host[""port""]) if fulldata is not None: fulldata = fulldata.splitlines() for data in fulldata: matches = self.stat_pattern.match(data) if matches: self.publish_counter( ""%s.%s"" % (nickname, matches.group(1)), float(matches.group(2)) )",false,if matches :,"self.publish_counter( ""%s.%s"" % (nickname,))self.publish_counter( ""%s",0.0,0.0
"def test_len(self): eq = self.assertEqual eq(base64MIME.base64_len(""hello""), len(base64MIME.encode(""hello"", eol=""""))) for size in range(15): if size == 0: bsize = 0 elif size <= 3: bsize = 4 elif size <= 6: bsize = 8 elif size <= 9: bsize = 12 elif size <= 12: bsize = 16 else: bsize = 20 eq(base64MIME.base64_len(""x"" * size), bsize)",false,elif size <= 9 :,bsize)bsize)bsize)bsize)bsize)bsize)bsize)b,0.0,0.0
"def wait_for_initial_conf(self, timeout=1.0): logger.info(""Waiting for initial configuration"") cur_timeout = timeout # Arbiter do not already set our have_conf param while not self.new_conf and not self.interrupted: elapsed, _, _ = self.handleRequests(cur_timeout) if elapsed: cur_timeout -= elapsed if cur_timeout > 0: continue cur_timeout = timeout sys.stdout.write(""."") sys.stdout.flush()",false,if cur_timeout > 0 :,=self.new_conf===========,0.0,2.29
"def __init__(self, querylist=None): self.query_id = -1 if querylist is None: self.querylist = [] else: self.querylist = querylist for query in self.querylist: if self.query_id == -1: self.query_id = query.query_id else: if self.query_id != query.query_id: raise ValueError(""query in list must be same query_id"")",false,if self . query_id != query . query_id :,:self.query_id,40.0,20.96
"def candidates() -> Generator[""Symbol"", None, None]: s = self if Symbol.debug_lookup: Symbol.debug_print(""searching in self:"") print(s.to_string(Symbol.debug_indent + 1), end="""") while True: if matchSelf: yield s if recurseInAnon: yield from s.children_recurse_anon else: yield from s._children if s.siblingAbove is None: break s = s.siblingAbove if Symbol.debug_lookup: Symbol.debug_print(""searching in sibling:"") print(s.to_string(Symbol.debug_indent + 1), end="""")",false,if recurseInAnon :,"end="""")yield from s.children_recurse_anonifs.siblingAbove is None:yield from s.",33.33,1.65
"def get_default_params(problem_type: str, penalty: str): # TODO: get seed from seeds provider if problem_type == REGRESSION: default_params = {""C"": None, ""random_state"": 0, ""fit_intercept"": True} if penalty == L2: default_params[""solver""] = ""auto"" else: default_params = { ""C"": None, ""random_state"": 0, ""solver"": _get_solver(problem_type), ""n_jobs"": -1, ""fit_intercept"": True, } model_params = list(default_params.keys()) return model_params, default_params",false,if penalty == L2 :,model_params[problem_type] =model_params[problem_type] = model_params[problem_type]model,33.33,1.65
"def _UploadDirectory(local_dir: str, gcs_bucket: storage.Bucket, gcs_dir: str): """"""Upload the contents of a local directory to a GCS Bucket."""""" for file_name in os.listdir(local_dir): path = os.path.join(local_dir, file_name) if not os.path.isfile(path): logging.info(""Skipping %s as it's not a file."", path) continue logging.info(""Uploading: %s"", path) gcs_blob = gcs_bucket.blob(f""{gcs_dir}/{file_name}"") gcs_blob.upload_from_filename(path)",false,if not os . path . isfile ( path ) :,"gcs_bucket.blob(f""{gcs_dir}/{file_name}"")gcs_blob.upload(f""{",36.36,1.76
"def decode_query_ids(self, trans, conditional): if conditional.operator == ""and"": self.decode_query_ids(trans, conditional.left) self.decode_query_ids(trans, conditional.right) else: left_base = conditional.left.split(""."")[0] if left_base in self.FIELDS: field = self.FIELDS[left_base] if field.id_decode: conditional.right = trans.security.decode_id(conditional.right)",false,if field . id_decode :,=field.id_decode:= trans.security.decode_id(conditional.right),80.0,23.59
"def data_dir(self) -> Path: try: from appdirs import user_data_dir except ImportError: # linux path = Path.home() / "".local"" / ""share"" if path.exists(): return path / ""dephell"" # mac os path = Path.home() / ""Library"" / ""Application Support"" if path.exists(): return path / ""dephell"" self.pip_main([""install"", ""appdirs""]) from appdirs import user_data_dir return Path(user_data_dir(""dephell""))",false,if path . exists ( ) :,"path =path = Path(user_data_dir(""dephell"")))",42.86,2.83
"def setGameCard(self, isGameCard=False): if isGameCard: targetValue = 1 else: targetValue = 0 for nca in self: if isinstance(nca, Nca): if nca.header.getIsGameCard() == targetValue: continue Print.info(""writing isGameCard for %s, %d"" % (str(nca._path), targetValue)) nca.header.setIsGameCard(targetValue)",false,if nca . header . getIsGameCard ( ) == targetValue :,=nca.header.getIsGameCard()nca.header.setIsGameCard()nca.header.,66.67,31.87
"def check_apns_certificate(ss): mode = ""start"" for s in ss.split(""\n""): if mode == ""start"": if ""BEGIN RSA PRIVATE KEY"" in s or ""BEGIN PRIVATE KEY"" in s: mode = ""key"" elif mode == ""key"": if ""END RSA PRIVATE KEY"" in s or ""END PRIVATE KEY"" in s: mode = ""end"" break elif s.startswith(""Proc-Type"") and ""ENCRYPTED"" in s: raise ImproperlyConfigured( ""Encrypted APNS private keys are not supported"" ) if mode != ""end"": raise ImproperlyConfigured(""The APNS certificate doesn't contain a private key"")",false,"elif mode == ""key"" :","""end""""end""""end""""end""""end""""end""""end""""",25.0,2.05
"def register_aggregate_groups(conn, *groups): seen = set() for group in groups: klasses = AGGREGATE_COLLECTION[group] for klass in klasses: name = getattr(klass, ""name"", klass.__name__) if name not in seen: seen.add(name) conn.create_aggregate(name, -1, klass)",false,if name not in seen :,=,0.0,0.0
"def _impl(inputs, input_types): data = inputs[0] axis = None keepdims = False if len(inputs) > 2: # default, torch have only data, axis=None, keepdims=False if isinstance(inputs[1], int): axis = int(inputs[1]) elif _is_int_seq(inputs[1]): axis = inputs[1] else: axis = list(_infer_shape(inputs[1])) keepdims = bool(inputs[2]) return get_relay_op(name)(data, axis=axis, keepdims=keepdims)",false,elif _is_int_seq ( inputs [ 1 ] ) :,)())))()))))) return get_rel,22.22,3.01
"def walks_generator(): if filelist is not None: bucket = [] for filename in filelist: with io.open(filename) as inf: for line in inf: walk = [int(x) for x in line.strip(""\n"").split("" "")] bucket.append(walk) if len(bucket) == batch_size: yield bucket bucket = [] if len(bucket): yield bucket else: for _ in range(epoch): for nodes in graph.node_batch_iter(batch_size): walks = graph.random_walk(nodes, walk_len) yield walks",false,if len ( bucket ) :,:::::::::::::::,16.67,2.63
"def _calculate_runtimes(states): results = {""runtime"": 0.00, ""num_failed_states"": 0, ""num_passed_states"": 0} for state, resultset in states.items(): if isinstance(resultset, dict) and ""duration"" in resultset: # Count the pass vs failures if resultset[""result""]: results[""num_passed_states""] += 1 else: results[""num_failed_states""] += 1 # Count durations results[""runtime""] += resultset[""duration""] log.debug(""Parsed state metrics: {}"".format(results)) return results",false,"if isinstance ( resultset , dict ) and ""duration"" in resultset :",stateresultset=resultset=resultset,14.29,2.1
